Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O 
12 1000.00 1367.00 99.595516 49.0336 0.702663 14.98 1.79382 0 6.86789 0.183303 9.28737 0 0 11.986 1.81267 0.621194 0.101835 2.62968
24 10000.00 1331.00 99.972535 48.8487 0.700013 14.9235 1.32143 0 7.26097 0.182612 9.25234 0 0 11.9408 1.80583 0.618852 0.101451 3.04353
25 7000.00 1328.00 99.986420 48.8419 0.699915 14.9214 1.45986 0 7.13524 0.182587 9.25106 0 0 11.9391 1.80558 0.618766 0.101437 3.04311
25 4000.00 1328.00 100.002038 48.8343 0.699806 14.9191 1.61552 0 6.99385 0.182558 9.24961 0 0 11.9373 1.8053 0.618669 0.101421 3.042643
26 7000.00 1325.00 99.986448 48.8419 0.699915 14.9214 1.46014 0 7.13498 0.182587 9.25105 0 0 11.9391 1.80558 0.618766 0.101437 3.04311
13 1000.00 1364.00 99.597454 49.0327 0.702649 14.9797 1.79428 0 6.86732 0.1833 9.28719 0 0 11.9858 1.81263 0.621182 0.101833 2.63152
26 10000.00 1325.00 99.972556 48.8487 0.700013 14.9235 1.32164 0 7.26078 0.182612 9.25234 0 0 11.9408 1.80583 0.618852 0.101451 3.04353
27 7000.00 1322.00 99.986478 48.8419 0.699915 14.9214 1.46044 0 7.13471 0.182587 9.25105 0 0 11.9391 1.80558 0.618766 0.101437 3.04311
27 4000.00 1322.00 100.002140 48.8343 0.699805 14.919 1.61653 0 6.99294 0.182558 9.2496 0 0 11.9373 1.8053 0.618669 0.101421 3.04263353
28 7000.00 1319.00 99.986510 48.8419 0.699915 14.9214 1.46076 0 7.13442 0.182586 9.25105 0 0 11.9391 1.80558 0.618765 0.101437 3.04311
14 1000.00 1361.00 99.599402 49.0317 0.702635 14.9794 1.79475 0 6.86673 0.183296 9.287 0 0 11.9855 1.8126 0.62117 0.101831 2.63338
28 4000.00 1319.00 100.002193 48.8342 0.699805 14.919 1.61706 0 6.99245 0.182558 9.2496 0 0 11.9373 1.80529 0.618668 0.101421 3.042633
29 7000.00 1316.00 99.986543 48.8419 0.699915 14.9214 1.46109 0 7.13412 0.182586 9.25105 0 0 11.9391 1.80558 0.618765 0.101437 3.04311
15 1000.00 1358.00 99.601361 49.0308 0.702621 14.9791 1.79524 0 6.86612 0.183293 9.28682 0 0 11.9853 1.81256 0.621158 0.101829 2.63524
29 10000.00 1316.00 99.972597 48.8487 0.700012 14.9234 1.32206 0 7.2604 0.182612 9.25234 0 0 11.9408 1.80583 0.618851 0.101451 3.04353
30 7000.00 1313.00 99.986578 48.8419 0.699914 14.9214 1.46143 0 7.1338 0.182586 9.25104 0 0 11.9391 1.80558 0.618765 0.101437 3.04311
31 7000.00 1310.00 99.986614 48.8418 0.699914 14.9214 1.4618 0 7.13347 0.182586 9.25104 0 0 11.9391 1.80558 0.618765 0.101437 3.0431
30 4000.00 1313.00 100.002305 48.8342 0.699804 14.919 1.61818 0 6.99144 0.182558 9.24959 0 0 11.9372 1.80529 0.618668 0.101421 3.042633
16 1000.00 1355.00 99.603331 49.0298 0.702607 14.9788 1.79575 0 6.86549 0.183289 9.28664 0 0 11.9851 1.81252 0.621146 0.101827 2.63711
32 7000.00 1307.00 99.986653 48.8418 0.699914 14.9214 1.46218 0 7.13313 0.182586 9.25104 0 0 11.9391 1.80557 0.618764 0.101437 3.0431
31 10000.00 1310.00 99.972632 48.8487 0.700012 14.9234 1.32241 0 7.26008 0.182612 9.25233 0 0 11.9408 1.80583 0.618851 0.101451 3.04353
33 7000.00 1304.00 99.986692 48.8418 0.699914 14.9213 1.46258 0 7.13277 0.182586 9.25103 0 0 11.9391 1.80557 0.618764 0.101437 3.0431
32 10000.00 1307.00 99.972652 48.8487 0.700012 14.9234 1.3226 0 7.2599 0.182612 9.25233 0 0 11.9408 1.80583 0.618851 0.101451 3.043532
17 1000.00 1352.00 99.605311 49.0288 0.702593 14.9785 1.79628 0 6.86485 0.183285 9.28645 0 0 11.9848 1.81249 0.621133 0.101825 2.63899
34 7000.00 1301.00 99.986734 48.8418 0.699913 14.9213 1.46299 0 7.13239 0.182586 9.25103 0 0 11.9391 1.80557 0.618764 0.101437 3.0431
33 10000.00 1304.00 99.972673 48.8486 0.700012 14.9234 1.32281 0 7.25971 0.182612 9.25233 0 0 11.9408 1.80583 0.618851 0.101451 3.04353
35 7000.00 1298.00 99.986777 48.8418 0.699913 14.9213 1.46342 0 7.132 0.182586 9.25102 0 0 11.9391 1.80557 0.618764 0.101437 3.0431
34 4000.00 1301.00 100.002552 48.834 0.699803 14.919 1.62064 0 6.9892 0.182557 9.24956 0 0 11.9372 1.80529 0.618666 0.101421 3.04262353
18 1000.00 1349.00 99.607303 49.0278 0.702579 14.9782 1.79683 0 6.86418 0.183282 9.28627 0 0 11.9846 1.81245 0.621121 0.101823 2.64088
36 7000.00 1295.00 99.986822 48.8417 0.699913 14.9213 1.46387 0 7.1316 0.182586 9.25102 0 0 11.9391 1.80557 0.618763 0.101437 3.0431
35 10000.00 1298.00 99.972720 48.8486 0.700011 14.9234 1.32328 0 7.25929 0.182612 9.25232 0 0 11.9408 1.80583 0.618851 0.101451 3.04353
35 4000.00 1298.00 100.002619 48.834 0.699802 14.919 1.6213 0 6.9886 0.182557 9.24956 0 0 11.9372 1.80529 0.618666 0.101421 3.04262
37 7000.00 1292.00 99.986868 48.8417 0.699912 14.9213 1.46433 0 7.13117 0.182586 9.25102 0 0 11.9391 1.80557 0.618763 0.101437 3.0431
19 1000.00 1346.00 99.609306 49.0268 0.702565 14.9779 1.79739 0 6.8635 0.183278 9.28608 0 0 11.9843 1.81241 0.621108 0.101821 2.6427753
36 4000.00 1295.00 100.002687 48.834 0.699802 14.919 1.62198 0 6.98798 0.182557 9.24955 0 0 11.9372 1.80529 0.618665 0.101421 3.04262
38 7000.00 1289.00 99.986917 48.8417 0.699912 14.9213 1.46481 0 7.13074 0.182586 9.25101 0 0 11.9391 1.80557 0.618763 0.101437 3.0431
37 10000.00 1292.00 99.972772 48.8486 0.700011 14.9234 1.3238 0 7.25882 0.182612 9.25232 0 0 11.9408 1.80583 0.61885 0.101451 3.04353
37 4000.00 1292.00 100.002757 48.8339 0.699801 14.9189 1.62268 0 6.98734 0.182557 9.24955 0 0 11.9372 1.80528 0.618665 0.10142 3.04261
39 7000.00 1286.00 99.986967 48.8417 0.699912 14.9213 1.46531 0 7.13028 0.182586 9.25101 0 0 11.9391 1.80557 0.618762 0.101436 3.04309
38 10000.00 1289.00 99.972801 48.8486 0.700011 14.9234 1.32409 0 7.25856 0.182612 9.25232 0 0 11.9408 1.80583 0.61885 0.101451 3.04353
20 1000.00 1343.00 99.611319 49.0258 0.702551 14.9776 1.79798 0 6.86281 0.183274 9.28589 0 0 11.9841 1.81238 0.621096 0.101819 2.64468
38 4000.00 1289.00 100.002830 48.8339 0.699801 14.9189 1.6234 0 6.98669 0.182557 9.24954 0 0 11.9372 1.80528 0.618664 0.10142 3.04261
40 7000.00 1283.00 99.987019 48.8416 0.699911 14.9213 1.46583 0 7.12982 0.182586 9.251 0 0 11.9391 1.80557 0.618762 0.101436 3.04309
39 10000.00 1286.00 99.972831 48.8486 0.700011 14.9234 1.32439 0 7.25828 0.182611 9.25231 0 0 11.9408 1.80582 0.61885 0.101451 3.04352
39 4000.00 1286.00 100.002904 48.8339 0.6998 14.9189 1.62414 0 6.98602 0.182557 9.24953 0 0 11.9372 1.80528 0.618664 0.10142 3.04261
41 7000.00 1280.00 99.987072 48.8416 0.699911 14.9213 1.46636 0 7.12933 0.182585 9.251 0 0 11.9391 1.80557 0.618762 0.101436 3.04309
